Omitted_Symbol,Remaining_Entry_Count,Setup_Mean_Return,Setup_Return_PF,Practical_Mean_R,Practical_R_PF
INDUSTOWER,1460,0.0015433845263729,1.0608219409437534,0.000685272455250829,1.0013309038599496
INFY,1464,0.0015683316825578384,1.0618471739859756,0.002078303078528391,1.0040440883986486
INOXWIND,1463,0.0015841265333832542,1.0625072364180987,0.001430982721207361,1.0027825911428945
INTELLECT,1461,0.0016908875409610436,1.066820446725272,0.003126356620096332,1.0060859722253972
IOB,1464,0.0016171466880516106,1.0638331942574406,0.0016595738533275,1.0032266705771884
IOC,1460,0.0006961269469216321,1.0274356923302665,-0.021408105851177448,0.958401333995681
IPCALAB,1462,0.001662614923574466,1.0657216832661651,0.001975177051548161,1.0038432771896784
IRB,1463,0.0015798982419977098,1.0622607444615229,0.0011740528317912234,1.0022799524741957
IRCON,1464,0.0017111016620280856,1.0677932757207027,0.002078303078528391,1.0040440883986486
IRFC,1464,0.00120428097054052,1.0474908308882376,-0.00526657240122866,0.9897655864152258
ITI,1464,0.0015730178168188761,1.0620319717326434,0.0009662596171403655,1.0018777109282262
J&KBANK,1464,0.0016296855460072163,1.0643599917337698,0.002078303078528391,1.0040440883986486
JBCHEPHARM,1463,0.0015872992531444188,1.0625898272157999,0.0013254813984361407,1.002575756932374
JBMA,1461,0.0016342099503316085,1.0645639386157397,0.0024804260408339764,1.0048272004194811
JINDALSAW,1460,0.0015914715458672096,1.0627615525405536,0.0018058286439047889,1.0035102958859639
JINDALSTEL,1462,0.001632530281459707,1.0644587451493341,0.0034491352304826042,1.0067202323767919
JIOFIN,1464,0.0015994749047663931,1.063091630941152,0.0015533697448552278,1.003019556907506
JKCEMENT,1462,0.00161142133128784,1.0635738359070193,0.0016890399719450117,1.003285612363594
JKTYRE,1464,0.0016032497636048596,1.0632499489831106,0.001638379247602242,1.003185331139952
JMFINANCIL,1461,0.0016334312172673793,1.0645361060895047,0.0017035086717762159,1.0033110739038542
JSL,1459,0.0017119964395738753,1.067633278865795,0.003222548392053043,1.006265533653596
JSWENERGY,1461,0.0016445940386149425,1.0650619417553935,0.0024959861991484477,1.0048598077755309
JSWINFRA,1463,0.001646025143240001,1.0649999346176109,0.0027632506541118004,1.0053803795359024
JSWSTEEL,1461,0.0016283819783569633,1.0641670845726112,0.0024294200452011794,1.004720956589447
JUBLFOOD,1462,0.0016505605387591848,1.0651715166689153,0.0020130486271724385,1.0039126980527402
JUBLINGREA,1461,0.0017475933982319055,1.0691873967100975,0.003972736724690866,1.007742971808952
JUBLPHARMA,1459,0.0015714597396263377,1.0620233128550831,0.0006801681656264232,1.0013228672681964
JUSTDIAL,1461,0.0016590221480162143,1.0654513440334727,0.002648015351447977,1.0051477627610061
JYOTHYLAB,1461,0.0015249728554744206,1.0600823694242534,0.0004077170498978629,1.0007917348678168
JYOTICNC,1463,0.0016156923846285985,1.063777536179792,0.0017300348630978632,1.0033641074875403
KAJARIACER,1462,0.0016650558587434445,1.0657529547225737,0.0029867827722791316,1.0058141556340627
KALYANKJIL,1459,0.00166831971036227,1.0659181777015763,0.00333533759200607,1.006493830502995
KARURVYSYA,1456,0.0016628681037986865,1.0656343514717908,0.0026291387622451434,1.0051161775514317
KAYNES,1461,0.0014769117434658202,1.058221173432213,0.00021027743010658054,1.0004088229134398
KEC,1462,0.001647257358924472,1.0650044039414939,0.002189231393435808,1.0042550135506199
KEI,1457,0.0016685066940958148,1.06578018260111,0.0028514584783182204,1.0055393701655622
KFINTECH,1462,0.001607082934271978,1.0633648614001983,0.001539770865386759,1.0029907463072132
KIMS,1461,0.0017498767470552812,1.0692840578582263,0.0036485710552814263,1.007106674060871
KIRLOSBROS,1463,0.0015390465882070504,1.0606840443127041,0.0012345086961026207,1.0024005411894163
